"","Species","Extent","X_round","Y_round","Occurrence"
"9455","Leontodon.hispidus","Racherin",4533550,2665050,1
"9456","Leontodon.hispidus","Racherin",4533650,2665050,1
"9457","Leontodon.hispidus","Racherin",4533750,2665050,1
"9458","Leontodon.hispidus","Racherin",4533850,2665050,1
"9459","Leontodon.hispidus","Racherin",4533050,2665150,1
"9460","Leontodon.hispidus","Racherin",4533150,2665150,1
"9461","Leontodon.hispidus","Racherin",4533350,2665150,1
"9462","Leontodon.hispidus","Racherin",4533450,2665150,1
"9463","Leontodon.hispidus","Racherin",4533550,2665150,1
"9464","Leontodon.hispidus","Racherin",4534150,2665150,1
"9465","Leontodon.hispidus","Racherin",4533350,2665250,1
"9466","Leontodon.hispidus","Racherin",4533450,2665250,1
"9467","Leontodon.hispidus","Racherin",4533550,2665250,1
"9468","Leontodon.hispidus","Racherin",4534050,2665250,1
"9469","Leontodon.hispidus","Racherin",4534150,2665250,1
"9470","Leontodon.hispidus","Alps",4520150,2665350,1
"9471","Leontodon.hispidus","Alps",4537150,2665450,1
"9472","Leontodon.hispidus","Alps",4264150,2665550,1
"9473","Leontodon.hispidus","Alps",4603050,2665550,1
"9474","Leontodon.hispidus","Alps",4537150,2665650,1
"9475","Leontodon.hispidus","Alps",4264350,2666050,1
"9476","Leontodon.hispidus","Alps",4319550,2666050,1
"9477","Leontodon.hispidus","Alps",4594650,2666250,1
"9478","Leontodon.hispidus","Alps",4548250,2666450,1
"9479","Leontodon.hispidus","Alps",4236650,2666650,1
"9480","Leontodon.hispidus","Alps",4553550,2666650,1
"9481","Leontodon.hispidus","Alps",4531050,2666750,1
"9482","Leontodon.hispidus","Alps",4530750,2666850,1
"9483","Leontodon.hispidus","Alps",4583250,2666850,1
"9484","Leontodon.hispidus","Alps",4586250,2666950,1
"9485","Leontodon.hispidus","Alps",4587050,2666950,1
"9486","Leontodon.hispidus","Alps",4368550,2667150,1
"9487","Leontodon.hispidus","Alps",4373450,2667250,1
"9488","Leontodon.hispidus","Alps",4595350,2667350,1
"9489","Leontodon.hispidus","Alps",4596150,2667450,1
"9490","Leontodon.hispidus","Alps",4367050,2667650,1
"9491","Leontodon.hispidus","Alps",4391350,2667750,1
"9492","Leontodon.hispidus","Alps",4528850,2667750,1
"9493","Leontodon.hispidus","Alps",4552750,2667750,1
"9494","Leontodon.hispidus","Alps",4552850,2667750,1
"9495","Leontodon.hispidus","Alps",4553550,2667750,1
"9496","Leontodon.hispidus","Alps",4551250,2667950,1
"9497","Leontodon.hispidus","Alps",4558850,2667950,1
"9498","Leontodon.hispidus","Alps",4583150,2667950,1
"9499","Leontodon.hispidus","Alps",4551450,2668050,1
"9500","Leontodon.hispidus","Alps",4607550,2668050,1
"9501","Leontodon.hispidus","Alps",4609050,2668050,1
"9502","Leontodon.hispidus","Alps",4536750,2668150,1
"9503","Leontodon.hispidus","Alps",4335550,2668250,1
"9504","Leontodon.hispidus","Alps",4335250,2668350,1
"9505","Leontodon.hispidus","Alps",4554950,2668950,1
"9506","Leontodon.hispidus","Alps",4605950,2669050,1
"9507","Leontodon.hispidus","Alps",4606650,2669050,1
"9508","Leontodon.hispidus","Alps",4608950,2669150,1
"9509","Leontodon.hispidus","Alps",4260850,2669250,1
"9510","Leontodon.hispidus","Alps",4504750,2669250,1
"9511","Leontodon.hispidus","Alps",4610450,2669250,1
"9512","Leontodon.hispidus","Alps",4209950,2669450,1
"9513","Leontodon.hispidus","Alps",4592250,2669450,1
"9514","Leontodon.hispidus","Alps",4614250,2669450,1
"9515","Leontodon.hispidus","Alps",4369150,2669550,1
"9516","Leontodon.hispidus","Alps",4592950,2669550,1
"9517","Leontodon.hispidus","Alps",4593750,2669550,1
"9518","Leontodon.hispidus","Alps",4594450,2669550,1
"9519","Leontodon.hispidus","Alps",4615050,2669550,1
"9520","Leontodon.hispidus","Alps",4615850,2669550,1
"9521","Leontodon.hispidus","Alps",4616550,2669550,1
"9522","Leontodon.hispidus","Alps",4617350,2669650,1
"9523","Leontodon.hispidus","Alps",4302950,2670050,1
"9524","Leontodon.hispidus","Alps",4554950,2670050,1
"9525","Leontodon.hispidus","Alps",4555650,2670050,1
"9526","Leontodon.hispidus","Alps",4535950,2670350,1
"9527","Leontodon.hispidus","Alps",4609650,2670350,1
"9528","Leontodon.hispidus","Alps",4610450,2670350,1
"9529","Leontodon.hispidus","Alps",4505550,2670450,1
"9530","Leontodon.hispidus","Alps",4507050,2670450,1
"9531","Leontodon.hispidus","Alps",4589850,2670450,1
"9532","Leontodon.hispidus","Alps",4591450,2670550,1
"9533","Leontodon.hispidus","Alps",4613450,2670550,1
"9534","Leontodon.hispidus","Alps",4614250,2670550,1
"9535","Leontodon.hispidus","Alps",4615750,2670650,1
"9536","Leontodon.hispidus","Alps",4595250,2670750,1
"9537","Leontodon.hispidus","Alps",4617250,2670750,1
"9538","Leontodon.hispidus","Alps",4618050,2670750,1
"9539","Leontodon.hispidus","Alps",4598250,2670850,1
"9540","Leontodon.hispidus","Alps",4586550,2670950,1
"9541","Leontodon.hispidus","Alps",4586650,2670950,1
